"","Checklist Item","Reported?"
"1.","Is the metric of time used in the statistical model reported?","Yes/No"
"2.","Is information presented about the mean and variance of time within a wave?","Yes/No"
"3a.","Is the missing data mechanism reported?","Yes/No"
"3b.","Is a description provided of what variables are related to attrition/missing data?","Yes/No"
"3c.","Is a description provided of how missing data in the analyses were dealt with?","Yes/No"
"4.","Is information about the distribution of the observed variables included?","Yes/No"
"5.","Is the software mentioned?","Yes/No"
"6a.","Are alternative specifications of within-class heterogeneity considered (e.g., LGCA vs. LGMM) and clearly documented? If not, was sufficient justification provided as to eliminate certain specifications from consideration?","Yes/No"
"6b.","Are alternative specifications of the between-class differences in variance–covariance matrix structure considered and clearly documented? If not, was sufficient justification provided as to eliminate certain specifications from consideration?","Yes/No"
"7.","Are alternative shape/functional forms of the trajectories described?","Yes/No"
"8.","If covariates have been used, can analyses still be replicated?","Yes/No"
"9.","Is information reported about the number of random start values and final iterations included?","Yes/No"
"10.","Are the model comparison (and selection) tools described from a statistical perspective?","Yes/No"
"11.","Are the total number of fitted models reported, including a one-class solution?","Yes/No"
"12.","Are the number of cases per class reported for each model (absolute sample size, or proportion)?","Yes/No"
"13.","If classification of cases in a trajectory is the goal, is entropy reported?","Yes/No"
"14a.","Is a plot included with the estimated mean trajectories of the final solution?","Yes/No"
"14b.","Are plots included with the estimated mean trajectories for each model?","Yes/No"
"14c.","Is a plot included of the combination of estimated means of the final model and the observed individual trajectories split out for each latent class?","Yes/No"
"15.","Are characteristics of the final class solution numerically described (i.e., means, SD/SE, n, CI, etc.)?","Yes/No"
"16.","Are the syntax files available (either in the appendix, supplementary materials, or from the authors)?","Yes/No"
